Category,Description
Household,"Aarsun Woods Wooden 4 Panel Partition Screen / Room Divider Aarsun Woods bring you this Handmade Folding Partition Screen / Room Divider made from premium quality Mango Wood with beautiful circular carvings and leaf border that gives an elegant and traditional look (matte finish) to your living room. The unit consists of 4 panels and each panel comes in a standard size of approx. 72 inches (6 feet)high and 20 inches wide. This stylish partition separates the living room area from the rest of the house or can be used for separating Pooja Space from the rest of the house. Add a classy feel to your living room. Moreover, as we are the manufacturers, the unit can be customized as per your need.The packaging of the unit is done in Wooden Crate Boxes so as to avoid any damage while in-transit. We provide best possible services to all our clients and believe in strong customer relationships"
Electronics,"BlueRigger High Speed Mini HDMI to HDMI cable with Ethernet (10 Feet / 3 Meters) Size name:10FT   Mini HDMI to HDMI Connecting Cable Enjoy watching the 4K HD videos captured with your digital camera or camcorder on your big HD television screen. The BlueRigger High Speed Mini HDMI to HDMI Cable with Ethernet (10 Feet / 3 Meters) features an HDMI A and an HDMI C Type connectors allowing you to sync your game consoles, digital cameras, camcorders and other mini HDMI devices with your standard HDMI gadgets like your HD TV or PC. You can playback the up to 4K HD videos and images shot with your digital cameras and view these in high-definition crystal-clarity, crispness and vibrant picture on your HD TV/PC. The audio quality is also impressive as this High Speed Mini HDMI to HDMI Cable with Ethernet supports an uncompressed multichannel digital sound to give you a complete audio-visual entertainment. High Durability Quotient The High Speed Mini HDMI to HDMI Cable with Ethernet (10 Feet / 3 Meters) is a fully shielded 30 gauge superior-grade cord that allows you a safe use and provides the cable a high durability. The metallic jacket connector of this Mini HDMI to HDMI Cable makes a strong, reliable and interference-free connection between your e-gadgets so that there is no signal drop-out to halt your multimedia enjoyment in the middle unexpectedly. The long 10 ft/3 m cable is also flexible and easy-to-use giving you the liberty to place your home entertainment set-up devices anywhere you like."
Clothing & Accessories,"Proline Men's Track Jacket Proline Woven, 100% Polyester High neck Wind Cheater with colour Blocked Detail"
Clothing & Accessories,Royal Export Women's Georgette Long Party Wear Gown
Clothing & Accessories,"PETRICE Deluxe Women's Underwear Case Travel Portable Storage Bag Box Protect Bra Panty Lingerie Organizer (Colour May Vary) The travel divided underwear bag is a very unique and useful organizer bag for keeping underwear.this divided underwear bag has two compartment allowing easy access and organization of your underwear and others.the pouch bag unzips completely to unfold, allowing easy access and organization of your items.it can also be used as a baby pouch. Store your simple items, stores up to 4 ~ 6 bras"" keep your travelling needs in this travel bag set. Keep one for toiletries, and one for your cloths. Conveniently organize your travel essentials and avoid from rummaging through the whole luggage with these bags, and when you've safely landed home, keep the smaller bag into the large one for storage."
Household,"KENT Chilla and Dosa Maker 900-Watt (Red) Kent Chilla and Dosa Maker is a non-stick appliance that lets you make your favourite dishes without oil, making it healthy yet tasty. With this easy to use appliance, you can make chillas, dosas, etc. instantly all you need to do is place the appliance on to the batter, flip it back to its original position and wait till the edges turn brown and your dish is ready to serve."
Books,"LOTS OF ART AND ACTIVITY - 3 Art is always linked to simple colouring. LOTS OF ART & ACTIVITY series gives you a new look of it. Its parts A, B, C, 1 to 5 will give you a total new experience of enjoyment with introduction of new concepts of colouring. Its each part is made with the motto of developing creativity. Its main features are:- ? Simple drawing ? Various concepts of colouring ? Attractive backgrounds ? Paper folding ? Craft work ? Collage ? Spray painting ? Impression art We are sure that our effort will open children to new world of art and activity. And surely they would not take it as just a time pass after introducing to our books."">"
Electronics,"HP HD 4310 H2W19AA#ABC Webcam Instantly connect and communicate with this high-end webcam: widescreen 1080P HD, 3-way video calling, auto focus and auto-exposure. (Requires installation of the included software.) Instant , keep-in-touch connect ions: 3-way video calling, consolidates contacts into 1 place, shares your desktop and 1-click upload to Facebook. (Internet service required and sold separately. Requires installation of the included software.) Powerful, performance-based features: Jam-packed HP Webcam HD 4310. Universal clip mounts anywhere. 360° pan and 30° tilt freely adjusts. Directional mic cuts down on background noise. Plus take advantage of cool special effects & remote monitoring. Enhanced, premium picture quality: HP Webcam HD 4310 offers amazing image-enhancing features. 1080P widescreen improves video quality. Auto focus keeps images razor sharp. Exclusive HP True Vision automatically adjusts to changing light conditions.Modern, first -class design: Clean lines.Sleek, streamlined shape. High-end accents. Light & ultra-compact size.T he HP Webcam HD 4310 is like your very own miniature masterpiece that 's small, space-saving and adds sophistication to any environment ."
Household,"Usha Sandwich Maker (2372) 700-Watt (White) Warranty for one year by co's. Authorised service centre only and as per co. Terms. Goods once sold will not be taken back, otherwise buyer have bare courier charges and amazon fee."
Electronics,"iBall Sound Star BT9 Compact Stylish and Portable Bluetooth Speaker (Brown) Features - Portable BT speaker with Built-in Mic Multiple Input options - BT | USB | Micro SD | FM | AUX Thump out with High quality Sound Use BT enabled devices to enjoy music wherever you go Enjoy your favourite Radio stations with Built-in FM Radio Built in rechargeable battery Ideal for Home, offices work in the LED lamp while you listen to music Specifications Dimension - Speaker - 6.6(H) x 16.1(W) x 7.4(D) cm Sound Output - 6W RMS (3W x 2) Working Time - About 5 Hrs. Weight - 680grams Speaker Driver Unit - 4 cm each Frequency Response - 80Hz ~ 20kHz S/N Ratio - >90db Battery Charging Time - About 3 Hrs. Working Time - About 5 Hrs. Inputs - USB, Micro SD, FM, BT and AUX Remote Control Functions Power On/Off switch, Mode/Play/Pause/Auto Scan, Previous Track / Vol-, Next Track / Vol+ Package Content Speaker, Audio Cable, Charging Cable and User Manual"
Books,"An Introduction to Linguistics: Language, Grammar and Semantics About the Author PUSHPINDER SYAL, M.A. (English), M.A. (Linguistics for ELT, Lancaster); Ph.D. (Lancaster), is teaching English and Linguistics at Panjab University, Chandigarh. She earned top positions throughout her academic studies and in her later academic pursuits. She has participated in numerous seminars and conferences, workshops and training courses. Professor Pushpinder Syal has to her credit several research papers and has guided many research students. DHARAM VIR JINDAL, M.A. (English); M.Ed.; PGDTE (CIEFL); Ph.D. (English Phonetics), was formerly with the Postgraduate Department of English, Government College, Ludhiana. Co-author of A Handbook of Pronunciation of English Words (published by Prentice-Hall of India) along with Prof. J. Sethi, he has written several books on English Grammar and Phonetics."
Electronics,"Panasonic DMP-BDT380GA Smart Newtwork ,4K Upscaling, Blu-Ray Player with Built In WiFi, Miracast, 3D Conversion, DLNA, Netflix & DLNA It has been designed to perfection to give quality output. It is compatible with USB version 2.0 and 1.1 and has plug and play function."
Clothing & Accessories,"Infant Girl's Poly Cotton 1 Piece Swimsuit by AVS Retail Kids girls' one-piece sleeveless swimsuit. Round neckline, wide shoulder straps with an irremovable bow knot details. Polyamide, elastane suitable for swimming, surfing or beach wear."
Household,"Joyful MHS B00SIQ5IKK Plastic 4 Xtra Large Modular Drawer System (40.8x32.6x32.4cm, Multicolour) Joyful studio 4 Drawer system multipurpose storage drawer is a good product...product Dimensions... Overall Dimension Height 24 Inches Width 12 inches Length 14 inches ..DRAWER DIMENSION Height 5 Inches Width 10 inches Length 13 Inches....Ideal for Gifts,Home and office use.Its elegant and practical design for a host of multipurpose usage."
